recId;aut;title;place;publ;yea;lan;rubrics;person;serial;material;biblevel;ager
49;Емельянова Елена Владимировна;Кризис в созависимых отношениях. Принципы и алгоритмы консультирования;Санкт-Петербург;Речь;2004;rus;Психология развития и возрастная психология;;Современный учебник;Текст. материал;Монография;
50;Долгопят Елена Олеговна;Родина;Москва;РИПОЛ классик;2017;rus;Художественная литература : Проза;;;Текст. материал;Монография;18+
51;Махален Поль;Кровавая гостиница;Москва;Мир книги , Литература;2012;rus;Художественная литература;;Классика приключенческого романа;Текст. материал;Монография;
52;Кондрашов Александр Иванович;Говорит Москва;Москва;У Никитских ворот;2016;rus;Художественная литература;;;Текст. материал;Монография;
53;Рибакофф Дэниел;Частный сыск. Секреты профессионального мастерства от ведущего детектива США;Москва;Эксмо;2017;rus;Право. Юридические науки : Административное право;;Личная безопасность. Секретные техники спецслужб;Текст. материал;Монография;16+
54;Изюмов Юрий Петрович;"Куда: Москва, ""Литературная газета"". 1980-1990. Люди и события";Москва;У Никитских ворот , Литературная газета;2015;rus;Периодическая печать;;;Текст. материал;Монография;16+
55;Хильт Алиона;Как раскрутить блог в Instagram. Лайфаки, тренды, жизнь;Москва;АСТ;2017;rus;Технологии и средства программирования;;;Текст. материал;Монография;16+
56;Пинчук Сергей Александрович;Крымская война и одиссея Греческого легиона;Москва;Вече;2016;rus;История России;;;Текст. материал;Монография;16+
57;Скоренко Тимофей Юрьевич;Изобретено в России. История русской изобретательской мысли от Петра I до Николая II;Москва;Альпина нон-фикшн;2018;rus;История науки;;;Текст. материал;Монография;16+
58;Тормозова Людмила Илларионовна;Полководец А. П. Тормасов;Москва;У Никитских ворот;2015;rus;История России;Тормасов Александр Петрович;;Текст. материал;Монография;
59;Быкова Анна Александровна;"Самостоятельный ребенок, или Как стать ""ленивой мамой""";Москва;Эксмо;2017;rus;Психология труда и профессиональной деятельности : Семейное воспитание и образование. Самообразование;;Ленивая мама;Текст. материал;Монография;16+
60;;Строгановка. 190 лет русского дизайна;Москва;Русский мир;2015;rus;Изобразительное искусство и архитектура;;Большая Московская Библиотека;Текст. материал;Монография;16+
61;Кэтмелл Эд;Корпорация гениев. Как управлять командой творческих людей;Москва;Альпина Паблишер;2014;rus;Бизнес и предпринимательство. Экономика предприятия : Мировая экономика. Мировые экономические отношения. Экономика стран и регионов;;;Текст. материал;Монография;16+
62;;Юрий Гагарин. Знаете, каким он парнем был!;Москва;Русский мир;2014;rus;Космический транспорт. Космонавтика;Гагарин Юрий Алексеевич;Слава России;Текст. материал;Монография;
63;;Правила личной жизни;Москва;Слово/Slovo;2013;rus;Психология личности;;;Текст. материал;Монография;
64;Дэвид-Фокс Майкл;Витрины великого эксперимента. Культурная дипломатия Советского Союза и его западные гости, 1921-1941 годы;Москва;Новое Литературное Обозрение;2015;rus;История России;;Historia Rossica;Текст. материал;Монография;16+
65;Сурженко Леонид Анатольевич;Воспитание без воспитания. Как вырастить ребенка счастливым человеком;Санкт-Петербург;Питер;2017;rus;Психология труда и профессиональной деятельности;;Родителям о детях;Текст. материал;Монография;12+
66;Айзексон Уолтер;Бенджамин Франклин;Москва;Манн, Иванов и Фербер;2014;rus;История частей света и зарубежных стран;Франклин Бенджамин;;Текст. материал;Монография;16+
67;Вуйчич Ник;Неудержимый. Невероятная сила веры в действии;Москва;Эксмо;2013;rus;Социальная психология;;;Текст. материал;Монография;16+
68;Ди Чианни Чинция;Мозг и тайны мышления;Москва;БИНОМ. Лаборатория знаний;2015;rus;Общая психология;;Вояджер;Текст. материал;Монография;
69;;Формулы и таблицы для школьников, абитуриентов, студентов;Ростов-на-Дону;Феникс;2010;rus;Точные и естественные науки. Науки о Земле;;Здравствуй, школа!;Текст. материал;Монография;
70;Моисеев Никита Николаевич;Человек и ноосфера;Москва;Молодая гвардия;1990;rus;Экология;;;Текст. материал;Монография;
71;Уиз Джим;Занимательная химия, физика, биология;Москва;АСТ , Астрель;2007;rus;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
73;Озерянский Валерий Анатольевич;Познаем наномир;Москва;БИНОМ. Лаборатория знаний;2013;rus;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
74;Белов Сергей Владимирович;Ноксология;Москва;Юрайт;2012;rus;Экология;;Бакалавр. Базовый курс;Текст. материал;Монография;
75;Аистов Илья Алексеевич;Концепции современного естествознания;Санкт-Петербург;Питер;2005;rus;Точные и естественные науки. Науки о Земле;;Краткий курс;Текст. материал;Монография;
76;;Экология. Основы геоэкологии;Москва;Юрайт;2014;rus;Экология;;Бакалавр. Академический курс;Текст. материал;Монография;
77;Рузавин Георгий Иванович;Концепции современного естествознания;Москва;Гардарики;2007;rus;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
78;;Охрана окружающей среды;Москва;Академия;2014;rus;Экология : Охрана окружающей среды в целом. Рациональное природопользование;;Высшее образование. Бакалавриат;Текст. материал;Монография;
79;;Концепции современного естествознания;Москва;Питер;2009;rus;Точные и естественные науки. Науки о Земле;;Учебник для вузов;Текст. материал;Монография;
81;;Концепции современного естествознания;Москва;Дрофа;2009;rus;Точные и естественные науки. Науки о Земле;;Высшее образование;Текст. материал;Монография;
82;Баландин Рудольф Константинович;Экология. Человек и природа;Москва;ОЛМА-Пресс;2001;rus;Экология;;;Текст. материал;Монография;
83;Горохов Виталий Георгиевич;Концепции современного естествознания и техники;Москва;Инфра-М;2000;rus;Точные и естественные науки. Науки о Земле : Технические науки и промышленность в целом : Философия и логика;Галилей Галилео;Высшее образование;Текст. материал;Монография;
84;Зентген Йенс;От звезды до росинки. 120 удивительных явлений природы;Москва;БИНОМ. Лаборатория знаний;2015;rus;Точные и естественные науки. Науки о Земле : Познавательная литература для школьников по общественным, естественнонаучным и техническим знаниям;;;Текст. материал;Монография;12+
85;Клягин Николай Васильевич;Современная научная картина мира;Москва;Университетская книга;2007;rus;Точные и естественные науки. Науки о Земле;;Новая университетская библиотека;Текст. материал;Монография;
86;;Стандарты качества окружающей среды;Москва : Минск;Инфра-М , Новое знание;;rus;Экология : Охрана окружающей среды в целом. Рациональное природопользование;;Высшее образование. Бакалавриат;Текст. материал;Монография;
87;Кессельман Владимир Самуилович;На кого упало яблоко;Москва;Ломоносовъ;2014;rus;Физика : Точные и естественные науки. Науки о Земле : Ученые. Научные работники;;Лучшее увлекательное чтение : ЛУЧ;Текст. материал;Монография;
88;Брукс Майкл;Тринадцать вещей, в которых нет ни малейшего смысла;Москва;Ломоносовъ;2013;rus;Точные и естественные науки. Науки о Земле;;Лучшее увлекательное чтение : ЛУЧ;Текст. материал;Монография;
90;Козлов Ю. С.;Экологическая безопасность автомобильного транспорта;Москва;Агар , Рандеву-АМ;2000;rus;Экология;;Библиотечка студента : Автомобиль и экология;Текст. материал;Монография;
91;;И тогда деревья заговорили...;Алма-Ата;;2004;rus;Экология;;;Текст. материал;Монография;
92;Веккионе Глен;Занимательные опыты;Москва;АСТ , Астрель;2008;rus;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
96;Миркин Борис Михайлович;Популярный экологический словарь;Москва;Тайдекс Ко;2003;rus;Экология;;"Библиотека журнала ""Экология и жизнь""";Текст. материал;Монография;
97;Воронков Николай Александрович;Экология. Общая, социальная, прикладная;Москва;Агар , Рандеву-АМ;1999;rus;Экология;;;Текст. материал;Монография;
98;;Основы природопользования : экологические,  экономические и правовые аспекты;Ростов-на-Дону;Феникс;2007;rus;Охрана окружающей среды в целом. Рациональное природопользование;;Высшее образование;Текст. материал;Монография;
99;Железняк Галина Васильевна;НЛО-секретные материалы;Харьков;Клуб Семейного Досуга;2006;rus;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
100;Валова Валентина Дмитриевна;Основы экологии;Москва;Дашков и К;2005;rus;Экология;;;Текст. материал;Монография;
102;Митчелл Пол;101 ключевая идея. Экология;Москва;Гранд , Фаир-Пресс;2001;rus;Экология;;Грандиозный мир;Текст. материал;Монография;
105;;Секретные досье ФБР:Тайны НЛО становятся явными;Челябинск;Урал Л.Т.Д.;1999;rus;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
106;;Аномальные и таинственные места России;Москва;Бертельсманн Медиа Москау (БММ);2013;rus;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
107;Марин Диего;Тайны Наски и Ики;Москва;БИНОМ. Лаборатория знаний;2015;rus;История. Исторические науки : Археология : Этнология (этнография, народоведение). Обычаи и обряды;;Вояджер;Текст. материал;Монография;16+
108;Латальята Розамария;НЛО. Правда или вымысел?;Москва;БИНОМ. Лаборатория знаний;2014;rus;Точные и естественные науки. Науки о Земле;;Вояджер;Текст. материал;Монография;
109;Коробкин Владимир Иванович;Экология и охрана окружающей среды;Москва;КноРус;2013;rus;Экология;;Бакалавриат;Текст. материал;Монография;16+
110;Ди Чианни Чинция;Жизнь в других мирах;Москва;БИНОМ. Лаборатория знаний;2013;rus;Точные и естественные науки. Науки о Земле;;Вояджер;Текст. материал;Монография;
112;Зверев Анатолий Тихонович;Экология;Москва;Дом педагогики;1999;rus;Экология;;;Текст. материал;Монография;
113;Григорьева Ия Юрьевна;Основы природопользования;Москва;Инфра-М;2014;rus;Охрана окружающей среды в целом. Рациональное природопользование;;Высшее образование. Бакалавриат;Текст. материал;Монография;
114;Балаян Эдуард Николаевич;Комплексные упражнения по математике;Ростов-на-Дону;Феникс;2010;rus;Математика;;Большая перемена;Текст. материал;Монография;
115;;Основы инженерной экологии;Ростов-на-Дону;Феникс;2013;rus;Экология : Биология человека. Антропология;;Высшее образование;Текст. материал;Монография;
116;;Репетитор по математике;Ростов-на-Дону;Феникс;2010;rus;Математика;;;Текст. материал;Монография;
117;Выгодский Марк Яковлевич;Справочник по элементарной математике;Москва;АСТ , Астрель;2008;rus;Математика;;;Текст. материал;Монография;
118;;;;;2012;;Физика;;;Текст. материал;Монография;
119;;;;;2011;;Физика;;;Текст. материал;Монография;
121;Стюарт Иэн;Величайшие математические задачи;Москва;Альпина нон-фикшн , Династия;2015;rus;Математика;;;Текст. материал;Монография;
123;;Полный сборник решений задач для поступающих в вузы;Москва;Мир и Образование;2005;rus;Математика;;;Текст. материал;Монография;
126;Ежуков Евгений Лаврентьевич;Пограничная стража России. От Святого Владимира до Николая II;Москва;Эксмо , Яуза;2017;rus;История России : Административное право;;Пограничники. Герои в зеленых фуражках;Текст. материал;Монография;16+
127;Корешкова Татьяна Александровна;ЕГЭ 2008. Математика;Москва;Эксмо;2008;rus;Математика;;Интенсивная подготовка. Единый государственный экзамен;Текст. материал;Монография;
128;Корешкова Татьяна Александровна;ЕГЭ 2009. Математика. Тренировочные задания;Москва;Эксмо;2009;rus;Математика;;Интенсивная подготовка. Единый государственный экзамен;Текст. материал;Монография;
129;Дэгравэ Вим;Отели и их секреты. Управляющие, горничные и бармены о настоящей жизни в отелях;Москва;Эксмо;2017;rus;Экономика прочих отраслей;;Travel Story. Книги для отдыха;Текст. материал;Монография;12+
130;Володихин Дмитрий Михайлович;Братья Стругацкие;Москва;Молодая гвардия;2017;rus;История и критика литературы России;Стругацкий Аркадий Натанович;Жизнь замечательных людей : серия биографий;Текст. материал;Монография;16+
131;Дрессер Кристоф;Обольстить математикой. Числовые игры на все случаи жизни;Москва;БИНОМ. Лаборатория знаний;2014;rus;Математика;;;Текст. материал;Монография;16+
132;;Дмитрий Владимирович Голицын в войне 1812 года;Москва;Зебра Е;2017;;История России;;;Текст. материал;Монография;
133;Рабинер Игорь Яковлевич;"Как возрождали ""Спартак"". Откровения Массимо Карреры и игроков. [Хроника золотого сезона]";Москва;Эксмо;2017;rus;Спортивные игры;;;Текст. материал;Монография;16+
134;Балаян Эдуард Николаевич;Репетитор по математике для поступающих в вузы;Ростов-на-Дону;Феникс;2007;rus;Математика;;Абитуриент;Текст. материал;Монография;
135;Кон Игорь Семенович;Мальчик - отец мужчины;Москва;Время;2017;rus;Психология труда и профессиональной деятельности;;;Текст. материал;Монография;
136;;Алгебра и геометрия в таблицах и схемах:лучше,чем учебник;Ростов-на-Дону;Феникс;2007;rus;Математика;;;Текст. материал;Монография;
137;Сатановский Евгений Янович;Записные книжки дурака;Москва;Эксмо;2017;rus;История в целом. Всемирная история;;Сатановский Евгений. Книги известного политолога, президента Института Ближнего Востока;Текст. материал;Монография;16+
139;Каст Филис Кристина;Избранная;Москва;Олма Медиа Групп;2010;rus;Художественная литература;;Дом Ночи;Текст. материал;Монография;
140;Перельман Яков Исидорович;Живая математика;Москва;Издательский Дом Мещерякова;2014;rus;Математика;;;Текст. материал;Монография;6+
141;Колодный Лев Ефимович;Петровский бульвар;Москва;Вече;2015;rus;История России;;;Текст. материал;Монография;
142;Поляк Николай Николаевич;Решение конкурсных задач по математике;Москва;Инфолайн;1995;rus;Математика;;;Текст. материал;Монография;
143;Клепалов Евгений Юрьевич;Романсы на стихи Анны Ахматовой;Москва;Музыка;2003;rus;Вокальные произведения;;;Ноты печатные;Монография;
144;Дробышевский Станислав Владимирович;;;;2017;;Биология человека. Антропология;;;Текст. материал;Монография;
145;Гришина Элеонора Николаевна;Физика в таблицах и схемах;Ростов-на-Дону;Феникс;2012;rus;Физика;;Без репетитора;Текст. материал;Монография;
146;Дробышевский Станислав Владимирович;;;;2017;;Биология человека. Антропология;;Primus;Текст. материал;Монография;
147;Касаткин Геннадий Васильевич;Математика для поступающих в вузы ;Москва;Уникум-центр , Поматур;1999;rus;Математика;;Будь студентом;Текст. материал;Монография;
148;Вишневский Януш Леон;Любовница;Санкт-Петербург;Азбука-классика;2010;rus;Художественная литература;;Современные и классические бестселлеры;Текст. материал;Монография;
150;Кнут Дональд Эрвин;Сюрреальные числа. ;Москва;БИНОМ. Лаборатория знаний;2014;rus;Математика;;;Текст. материал;Монография;18+
151;Ларссон Стиг;Девушка, которая взрывала воздушные замки;Москва : Санкт-Петербург;Эксмо , Домино;;rus;Художественная литература : Зарубежный детектив;;Millennium;Текст. материал;Монография;
153;;Математика;Москва;"Филологическое общество ""Слово"" , Ключ-С";1995;;Математика;;;Текст. материал;Монография;
154;Щербакова Юлия Валерьевна;Аналитическая геометрия;Москва;Эксмо;2007;rus;Геометрия. Топология;;Экзамен в кармане;Текст. материал;Монография;
155;Атанасян Левон Сергеевич;Геометрия;Москва;КноРус;2013;rus;Геометрия. Топология;;;Текст. материал;Монография;
156;Атанасян Левон Сергеевич;Геометрия;Москва;КноРус;2013;rus;Геометрия. Топология;;;Текст. материал;Монография;
157;Гоник Ларри;Алгебра. Естественная наука в комиксах;Москва;КоЛибри;2015;rus;Алгебра;;;Текст. материал;Монография;12+
164;;Математика;Москва;БРИДЖ;1994;;Математика;;От школы к вузу: Самые популярные учебные и методические пособия;Текст. материал;Монография;
165;Кушнир Исаак Аркадьевич;;;;1995;rus;Математика;;;Текст. материал;Монография;
166;Кушнир Исаак Аркадьевич;;;;1995;rus;Математика;;;Текст. материал;Монография;
169;Житомирский Владимир Габриэлевич;Путешествие по стране Геометрии;Екатеринбург;Средне-Уральское книжное издательство;1994;rus;Геометрия. Топология;;;Текст. материал;Монография;
170;Саакян Самвел Манасович;Задачи по алгебре и началам анализа;Москва;Просвещение;2003;rus;Алгебра;;;Текст. материал;Монография;
171;Прийма Алексей Константинович;Пришельцы ниоткуда;Ростов-на-Дону;Феникс;1996;rus;Формы нетрадиционной религиозности. Культы, секты;;"По ту сторону ""зеркала""";Текст. материал;Монография;
172;Перельман Яков Исидорович;Живая математика;Москва;Столетие;1994;rus;Математика;;;Текст. материал;Монография;
173;;ХХ век: хроника необъяснимого;Москва;Олимп , АСТ;1996;;Точные и естественные науки. Науки о Земле;;;Текст. материал;Монография;
176;Олехник Слав Николаевич;Старинные занимательные задачи;Москва;Столетие;1994;rus;Математика;;;Текст. материал;Монография;
177;Перельман Яков Исидорович;Живая математика;Москва;Триада , Литера;1994;rus;Математика;;;Текст. материал;Монография;
178;Назаренко Александр Максимович;Тысяча и один пример: Равенства и неравенства;Сумы;Слобожанщина;1994;rus;Математика;;;Текст. материал;Монография;
180;Гарднер Мартин;Математические головоломки и развлечения;Москва;Оникс;1994;rus;Математика;;;Текст. материал;Монография;
181;Млодинов Леонард;Евклидово окно;Москва;Livebook;2013;rus;Геометрия. Топология;;;Текст. материал;Монография;12+
182;Перельман Яков Исидорович;Занимательная геометрия на вольном воздухе и дома;Москва;Центрполиграф;2011;rus;Геометрия. Топология;;Азбука науки для юных гениев;Текст. материал;Монография;
184;Росошек Семен Константинович;Системы уравнений : 9 класс;Томск;Издательство Томского университета;1996;rus;Алгебра;;Математика. Психология. Интеллект;Текст. материал;Монография;
186;;Шеренга великих математиков;Варшава;Наша Ксенгарня;1970;;Математика;;;Текст. материал;Монография;
188;Кикоть Павел Борисович;Линейная алгебра. Что надо знать, как решать задачи, типовой расчет;Москва;Издательство Московского государственного индустриального университета;2007;rus;Алгебра;;;Текст. материал;Монография;
190;Айзексон Уолтер;Альберт Эйнштейн. Его жизнь и Вселенная;Москва;АСТ , Corpus;2015;rus;Физика;Эйнштейн Альберт;;Текст. материал;Монография;
193;Алов Николай Г.;Мария Кюри. Подвиг длиною в жизнь;Москва;Бослен;2013;rus;Химические науки : Физика атомного ядра и элементарных частиц;Кюри-Склодовская Мария;;Текст. материал;Монография;
195;;Самое полное издание типовых вариантов реальных заданий ЕГЭ 2009. Математика;Москва;АСТ , Астрель;2009;rus;Математика;;;Текст. материал;Монография;
196;;Учимся решать задачи;Петрозаводск;КАРЭКО;1995;rus;Математика;;;Текст. материал;Монография;
197;Кейн Гордон;Суперсимметрия. От бозона Хиггса к новой физике;Москва;БИНОМ. Лаборатория знаний;2015;rus;Физика атомного ядра и элементарных частиц;;;Текст. материал;Монография;
198;Строгац Стивен;Удовольствие от х;Москва;Манн, Иванов и Фербер;2014;rus;Математика;;;Текст. материал;Монография;
199;;Тематическое задание для подготовки к ЕГЭ по математике;Ростов-на-Дону;Феникс;2010;rus;Математика;;;Текст. материал;Монография;
200;Пухначев Юрий Васильевич;Математика без формул;Москва;Столетие;1995;rus;Математика;;;Текст. материал;Монография;
201;Инджиев Артур Александрович;Уникальные бизнес-истории;Ростов-на-Дону;Феникс;2010;rus;Мировая экономика. Мировые экономические отношения. Экономика стран и регионов;;Вершина успеха;Текст. материал;Монография;
202;;Сказания о земле Русской;Москва;Олма Медиа Групп;2009;rus;Фольклор России;;Русский народ : Издательская программа правительства Москвы;Текст. материал;Монография;
203;Арзаканян Марина Цолаковна;История Франции;Москва;Дрофа;2007;rus;История частей света и зарубежных стран;;;Текст. материал;Монография;
204;Эрс Жак;Рождение капитализма в средние века;Санкт-Петербург;Евразия;2014;rus;История в целом. Всемирная история : Финансы. Банковское дело. Рынок ценных бумаг. Страхование. Социальное обеспечение;;;Текст. материал;Монография;
205;;Бизнес план;Санкт-Петербург;Питер;2009;rus;Бизнес и предпринимательство. Экономика предприятия;;;Текст. материал;Монография;
207;Берггольц Ольга Федоровна;Ольга. Запретный дневник;Санкт-Петербург;Азбука-Аттикус;2011;rus;Художественная литература;;;Текст. материал;Монография;
209;;Легенды и мифы отечественной авиации;;;2012;;Воздушный транспорт. Авиация;;;Текст. материал;Монография;
210;Миллер Алис;Драма одаренного ребенка и поиск собственного Я;Москва;Академический проект;2014;rus;Психология личности : Психология труда и профессиональной деятельности;;Психологические технологии;Текст. материал;Монография;
211;Арнольд Владимир Игоревич;Теория катастроф;Москва;Наука;1990;rus;Математический анализ.Функциональный анализ;;;Текст. материал;Монография;
212;Пиковер Клиффорд;Великая математика;Москва;БИНОМ. Лаборатория знаний;2015;rus;Математика;;;Текст. материал;Монография;16+
213;Вентцель Елена Сергеевна;Теория вероятностей;Москва;КноРус;2013;rus;Теория вероятностей и математическая статистика.;;Бакалавриат;Текст. материал;Монография;
214;;Теория вероятностей и математическая статистика;Москва;Физматлит;2007;rus;Математика;;;Текст. материал;Монография;
215;Чистяков Владимир Павлович;Курс теории вероятностей;Москва;Агар;2000;rus;Математика;;;Текст. материал;Монография;
216;Зубрев Николай Иванович;Предотвращение химического и бактериального загрязнения полосы отвода железных дорог;Москва;Инфра-М;2013;rus;Охрана окружающей среды в целом. Рациональное природопользование : Железнодорожный транспорт;;Научная мысль;Текст. материал;Монография;
218;Перельман Яков Исидорович;Занимательная механика;Москва;Книжный клуб Книговек , Терра;2013;rus;Механика;;;Текст. материал;Монография;12+
220;Тарг Семен Михайлович;Краткий курс теоретической механики;Москва;Высшая школа;1995;rus;Общая механика. Механика твердых тел. Кинематика. Статика;;;Текст. материал;Монография;
222;Болсун Александр Иванович;Физика в экзаменационных вопросах и ответах;Минск;Белорусская энциклопедия им. Петруся Бровки;1996;rus;Физика;;;Текст. материал;Монография;
223;Асламазов Лев Григорьевич;Удивительная физика;Москва;Наука;1987;rus;Физика;;"Библиотечка ""Квант""";Текст. материал;Монография;
224;Дойч Дэвид;Структура реальности. Наука параллельных вселенных;Москва;Альпина нон-фикшн;2015;rus;Гносеология (эпистемология). Философия науки : Квантовая механика;;;Текст. материал;Монография;
225;Дмитриев Александр Станиславович;Как понять сложные законы физики;Москва;Этерна;2014;rus;Физика;;Физика - это интересно!;Текст. материал;Монография;
226;Дрессер Кристоф;Обольстить физикой;Москва;БИНОМ. Лаборатория знаний;2015;rus;Физика;;;Текст. материал;Монография;
